"","Beruf.oder.Stand","Geburtsjahr","Stadtteil","Fraktion"
"1",NA,1976,NA,"OB"
"2",NA,1972,NA,"FWG"
"3",NA,1948,NA,"FWG"
"4",NA,1952,NA,"FWG"
"5",NA,1951,NA,"FWG"
"6",NA,1959,NA,"FWG"
"7",NA,1953,NA,"FWG"
"8",NA,1942,NA,"FWG"
"9",NA,1962,NA,"FWG"
"10",NA,1964,NA,"FWG"
"11",NA,1963,NA,"FWG"
"12",NA,1961,NA,"CDU"
"13",NA,1955,NA,"CDU"
"14",NA,1966,NA,"CDU"
"15",NA,1965,NA,"CDU"
"16",NA,1945,NA,"CDU"
"17",NA,1989,NA,"CDU"
"18",NA,1959,NA,"CDU"
"19",NA,1967,NA,"CDU"
"20",NA,1951,NA,"Grüne"
"21",NA,1991,NA,"Grüne"
"22",NA,1996,NA,"Grüne"
"23",NA,1960,NA,"Grüne"
"24",NA,1983,NA,"Grüne"
"25",NA,1960,NA,"Grüne"
"26",NA,1957,NA,"Grüne"
"27",NA,1964,NA,"Grüne"
"28",NA,1957,NA,"Grüne"
"29",NA,1993,NA,"Grüne"
"30",NA,1964,NA,"Grüne"
"31",NA,1953,NA,"SPD"
"32",NA,1958,NA,"SPD"
"33",NA,1983,NA,"SPD"
"34",NA,1950,NA,"SPD"
"35",NA,1961,NA,"SPD"
"36",NA,1980,NA,"SPD"
"37",NA,1964,NA,"SPD"
"38",NA,1996,NA,"FDP"
"39",NA,1954,NA,"FDP"
"40",NA,1963,NA,"FDP"
"41",NA,1996,NA,"AfD"
